system,d_auroc_ours_minus,ci_lo,ci_hi,significant,d_ms
fixed::factcc,0.2549075834407387,0.2381303970326896,0.2718489960246692,True,43.02816128822968
fixed::lettuce_v2,0.1852891037372565,0.1712387555775443,0.1975736185390011,True,14.211514985013268
fixed::hhem,0.1838360046547973,0.1670903099981008,0.199494531758767,True,-61.75441356417686
fixed::granite_guardian_4_1_3b_factuality_lora,0.1662039777769508,0.1491283165598975,0.1830948880700744,True,-360.92240532845807
fixed::minicheck_dbta,0.1461006881838284,0.129813949133879,0.1618122251397064,True,-385.4446301920789
fixed::granite_guardian_3_2_8b_factuality,0.128512686239819,0.1130724944970526,0.1425494044721189,True,-923.43591264421
fixed::granite_guardian_3_2_3b_a800m,0.1227768324599949,0.1068763788288691,0.1387725115758472,True,-156.03209115106125
fixed::factkb,0.1121626286750403,0.0970656831749704,0.1268985146033413,True,43.42613820594691
fixed::minicheck_ft5,0.0869500392974052,0.0716901436521943,0.101826308150043,True,-363.12209693301634
fixed::wecheck,0.0511874159221584,0.0369204387074606,0.0656546354254382,True,-271.42913057936534
fixed::granite_guardian_3_1_2b,0.0441095895817335,0.0317798258922304,0.0568381965082187,True,-89.4552440549747
fixed::factcg,0.0306704492533493,0.0152327108884994,0.0455777857758707,True,-342.050547362216
fixed::qwen30_judge,0.0267222778512607,0.0139074524099289,0.0396052767412301,True,-554.853385933509
fixed::qwen30_fast,0.0232701079240934,0.011218255159402,0.0350898736970039,True,-185.4590837870669
fixed::alignscore,0.0041934700905588,-0.0078868803796682,0.0162147897654004,False,-589.4073495439775
